HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10	ICD10_UKBB
HPO_ICD:346	HP:0001264	Spastic diplegia		G801	G801
HPO_ICD:347	HP:0003438;HP:0001347;HP:0008000;HP:0001265;HP:0030180;HP:0001284;HP:0010875;HP:0006844;HP:0031826	Oppenheim reflex; Hyperreflexia; Decreased corneal reflex; Chaddock reflex; Absent Achilles reflex; Areflexia; Abnormal reflex; Absent patellar reflexes; Hyporeflexia	Decreased blink reflex; Absent reflexes; Oppenheim sign; Absent tendon reflexes; Increased reflexes; Absent deep tendon reflexes; Absent knee jerk reflex; Reduced corneal reflex; Deep tendon reflexes absent; Decreased reflexes; Increased deep tendon reflexes; Absent ankle reflexes; Loss of deep tendon reflexes; Decreased reflex response	R292	R292
HPO_ICD:348	HP:0001266;HP:0002072;HP:0100248	Chorea; Hemiballismus; Choreoathetosis	Choreiform movements; Choreatic disease; Ballismus; Choreic movements; Choreoathetoid movements	G255	G255
HPO_ICD:349	HP:0001269;HP:0002301	Hemiparesis; Hemiplegia	Paralysis on one side of body; Weakness of one side of body	G8190	G819
HPO_ICD:350	HP:0001271;HP:0009830;HP:0000759	Abnormal peripheral nervous system morphology; Polyneuropathy; Peripheral neuropathy	Peripheral nerve disease; Peripheral neuritis; Peripheral nerve damage; Neuropathy; Peripheral nervous system disease; Abnormal peripheral nervous system morphology	A6922;G64;G629	G64;A692;G629
HPO_ICD:351	HP:0006849;HP:0001274;HP:0001338;HP:0002079	Agenesis of corpus callosum; Hypodysplasia of the corpus callosum; Hypoplasia of the corpus callosum; Partial agenesis of the corpus callosum	Partial to complete agenesis of corpus callosum; Dysplastic or absent corpus callosum; Partial or complete agenesis of the corpus callosum; Underdevelopment of part of brain called corpus callosum; Corpus callosum hypoplasia; Hypoplasia of corpus callosum; Corpus callosum agenesis; Corpus callosum agenesis, partial; Partial agenesis of corpus callosum; Partial-total agenesis of corpus callosum; Agenesis of the corpus callosum; Absence of corpus callosum; Partial corpus callosum agenesis; Thinning of the corpus callosum; Absent corpus callosum; Hypoplastic corpus callosum; Partial or complete agenesis of corpus callosum; Thin corpus callosum; Small corpus callosum; Callosal agenesis	Q040	Q040
HPO_ICD:352	HP:0010546;HP:0003750;HP:0009020;HP:0003752;HP:0010547;HP:0001276	Hypertonia; Exercise-induced muscle fatigue; Muscle flaccidity; Episodic flaccid weakness; Increased muscle fatiguability; Muscle fibrillation	Muscle hypertonia; Hypertonicity; Twitching; Muscle fatigue; Spasticity and rigidity of muscles; Increased muscle tone	R252;M6289	R252;M6289
HPO_ICD:353	HP:0001278	Orthostatic hypotension	Postural hypotension; Decrease in blood pressure upon standing up	I951	I951
HPO_ICD:354	HP:0001281	Tetany	Intermittent involuntary muscle spasm	R290	R290
HPO_ICD:355	HP:0001287	Meningitis		G039	G039
HPO_ICD:356	HP:0002362;HP:0007311;HP:0002317;HP:0009046;HP:0030187;HP:0001288;HP:0002066;HP:0040083;HP:0012407;HP:0002064;HP:0010521;HP:0006962;HP:0002515;HP:0003376	Gait disturbance; Difficulty running; Gait ataxia; Titubation; Shuffling gait; Spastic gait; Scissor gait; Short stepped shuffling gait; Waddling gait; Toe walking; Unsteady gait; Steppage gait; Gait instability, worse in the dark; Gait apraxia	Gait instability; Difficulty running; Short stepped shuffling walk; Abnormal walk; High stepping; Waddling walk; Toe-walking; Impaired gait; Gait disturbances; Scissor walk; 'steppage' gait; Spastic walk; Gait difficulties; 'Waddling' gait; Unsteady walk; Inability to coordinate movements when walking; Toe walking; Abnormal gait; Ataxic gait; Shuffled walk; Ataxia of gait; Unstable walking, worse in the dark; Gait abnormalities; Scissors gait; Scissor gait	R2689;R260;R261;R269;R2681	R260;R261;R268
HPO_ICD:357	HP:0001289;HP:0006846;HP:0031258;HP:0006965	Confusion; Acute encephalopathy; Delirium; Acute necrotizing encephalopathy	Disorientation; Confusion; Mental disorientation; Easily confused	R410;F4489	R410;F448
HPO_ICD:358	HP:0032325;HP:0001297;HP:0002140	Ischemic stroke; Lacunar stroke; Stroke	Cerebrovascular accidents; Cerebral vascular events; Cerebrovascular accident; Stroke	I639	I639
HPO_ICD:359	HP:0001298	Encephalopathy		G9340	G934
HPO_ICD:360	HP:0001300;HP:0002548	Parkinsonism; Parkinsonism with favorable response to dopaminergic medication	Favorable response to levodopa; Parkinsonian disease	G20	G20
HPO_ICD:361	HP:0006927;HP:0030769;HP:0002539;HP:0007268;HP:0007227;HP:0001302;HP:0001339;HP:0030283;HP:0002324;HP:0030048;HP:0001321	Partial absence of the septum pellucidum; Macrogyria; Aprosencephaly; Pachygyria; Hydranencephaly; Exencephaly; Unilateral polymicrogyria; Cortical dysplasia; Colpocephaly; Lissencephaly; Cerebellar hypoplasia	Underdeveloped cerebellum; Congenital cerebellar hypoplasia; Neocortical dysplasia; Fewer or absent grooves in brain; Hypoplastic cerebellum; Hypoplasia of cerebellum; Hydrancephaly; Small cerebellum; Fewer and broader ridges in brain; Cerebral pachygyria	Q043;Q048	Q043;Q048
HPO_ICD:362	HP:0001305	Dandy-Walker malformation	Dandy-Walker cyst; Dandy-walker anomaly	Q031	Q031
HPO_ICD:363	HP:0001308;HP:0002380	Tongue fasciculations; Fasciculations	Fasciculation; Lingual fibrillations; Tongue fasciculation; Twitching of the tongue; Tongue twitching; Muscle fasciculation; Lingual twitching; Muscle twitch; Tongue fasciculations/fibrillations; Lingual fasciculations	R253	R253
HPO_ICD:364	HP:0001319;HP:0008935	Generalized neonatal hypotonia; Neonatal hypotonia	Hypotonia, neonatal; Low muscle tone, in neonatal onset; Hypotonia, neonatal, generalized; Generalized low muscle tone in neonate; Hypotonia, in neonatal onset; Congenital hypotonia	G709	G709
HPO_ICD:365	HP:0003324;HP:0030237;HP:0003484;HP:0003731;HP:0001324;HP:0002460	Distal muscle weakness; Upper limb muscle weakness; Muscle weakness; Hand muscle weakness; Generalized muscle weakness; Quadriceps muscle weakness	Generalized weakness; Decreased arm strength; Muscle weakness, distal limbs, due to neuronopathy; Quadriceps weakness; Distal limb muscle weakness; Distal muscular weakness; Distal paresis; Weak arm; Muscle weakness, generalized; Muscle weakness, distal; Muscle weakness, diffuse; Hand muscle weakness; Weakness of distal muscles; Muscle weakness; Muscular weakness; Distal limb weakness; Distal limb muscle weakness due to peripheral neuropathy; Weakness of outermost muscles	M6281	M6281
HPO_ICD:366	HP:0001325	Hypoglycemic coma	Hypoglycaemic coma; Coma caused by low blood sugar; Coma, hypoglycemic; Loss of consciousness due to hypoglycemia	E15	E15
HPO_ICD:367	HP:0001334	Communicating hydrocephalus		G910	G910
HPO_ICD:368	HP:0001335;HP:0002356	Bimanual synkinesia; Writer's cramp	Mirror hand movements; Hand mirror movements; Mirror movements; Writer's cramp	G2589	G258
HPO_ICD:369	HP:0001337	Tremor	Tremor; Tremors	R251	R251
HPO_ICD:370	HP:0001342	Cerebral hemorrhage	Hemorrhagic stroke; Bleeding in brain; Intracerebral hemorrhage	I613;I616;I618;I611;I615;I610;I614;I619;I612	I613;I616;I618;I615;I611;I610;I614;I619;I612
HPO_ICD:371	HP:0001343	Kernicterus		P579	P579
HPO_ICD:372	HP:0001350;HP:0007164	Slowed slurred speech; Slurred speech	Slowed slurred speech; Slurred speech	R4781	R478
HPO_ICD:373	HP:0007206;HP:0001355	Megalencephaly; Hemimegalencephaly	Macrencephaly; Enlarged brain	Q045	Q045
HPO_ICD:374	HP:0001357	Plagiocephaly	Flattening of cranial vault; Asymmetry of the posterior cranium; Asymmetry of the posterior skull; Rhomboid shaped skull; Deformational plagiocephaly; Flattening of skull; Flattening of cranium; Rhomboid shaped head; Flattening of head; Rhomboid shaped cranium; Flat head syndrome; Flat head; Positional plagiocephaly; Asymmetry of the posterior head	Q673	Q673
HPO_ICD:375	HP:0006870;HP:0002507;HP:0001360;HP:0006988	Alobar holoprosencephaly; Lobar holoprosencephaly; Semilobar holoprosencephaly; Holoprosencephaly	Single brain ventricle	Q042	Q042
HPO_ICD:376	HP:0001369;HP:0001367;HP:0002758;HP:0003040	Arthritis; Osteoarthritis; Abnormal joint morphology; Arthropathy	Arthritis; Joint inflammation; Abnormality of the joints; Degenerative joint disease; Anomaly of the joints; Joint disease; Abnormal shape of joints; Disease of the joints	M1990;M129;M259	M1990
HPO_ICD:377	HP:0001370	Rheumatoid arthritis	Rheumatoid arthritis; RA	M05879;M05572;M06211;M05779;M06319;M06371;M0549;M06831;M0680;M05849;M06031;M05562;M0550;M05762;M0579;M05732;M06279;M05551;M06832;M05411;M06329;M06249;M0688;M06879;M05749;M06019;M05431;M06861;M05422;M06321;M059;M05729;M06339;M05852;M06062;M06811;M05571;M06349;M06332;M05821;M06312;M05439;M05719;M05471;M06061;M05871;M06351;M0629;M06821;M05839;M05419;M06242;M05832;M06839;M06842;M05771;M06059;M05472;M05812;M06041;M05549;M06271;M05569;M05559;M05712;M05811;M06849;M06042;M05731;M05561;M0580;M0689;M06272;M06052;M06021;M0630;M06219;M06822;M06851;M06379;M06862;M06869;M06369;M06311;M05511;M0540;M06322;M0620;M05519;M06071;M05841;M06229;M0570;M05761;M05531;M06261;M05822;M05872;M0559;M06331;M05851;M05711;M05459;M05469;M05541;M06812;M05722;M06022;M06262;M05829;M06232;M05451;M06231;M05522;M06372;M06072;M05542;M0600;M06342;M06222;M05512;M06221;M06239;M05579;M06872;M05442;M0628;M05819;M06012;M06032;M0609;M06039;M05721;M05432;M06871;M06241;M06252;M06341;M05412;M05759;M06852;M06362;M05739;M06359;M05452;M05429;M05421;M06049;M05521;M05859;M06212;M06029;M06829;M05869;M05752;M0639;M06361;M06069;M069;M05741;M05842;M0638;M05532;M05769;M06841;M05742;M05441;M05449;M06079;M0589;M05461;M05479;M06859;M05529;M06011;M05862;M0608;M06352;M05539;M06269;M05462;M05751;M05831;M06051;M06251;M05861;M06819;M06259;M05772;M05552	M0682;M0605;M0686;M0585;M0584;M0586;M0629;M0623;M0620;M0603;M0680;M0637;M0631;M0626;M0636;M0639;M0688;M0685;M0638;M0604;M0601;M0602;M0632;M0587;M0581;M0625;M0580;M0627;M0635;M0624;M0582;M0583;M0622;M0600;M0589;M0621;M0687;M0689;M0683;M0606;M0633;M0684;M0608;M0628;M0681;M0634;M0607;M0630;M0609
HPO_ICD:378	HP:0001371;HP:0002828	Multiple joint contractures; Flexion contracture	Joint contractures; Flexion contractures of joints; Joint contracture; Flexion contractures; Contractures; Contracture; Flexed joint that cannot be straightened	M2450;M2120;M6240	M2120;M2450;M6240
HPO_ICD:379	HP:0001385;HP:0001374	Hip dysplasia; Congenital hip dislocation	Congenital dislocation of the hip; Abnormal formation of the hip; Congenital dislocation of the hips; Dislocated hip since birth; Congenital hip anomaly; Congenital hip dislocations; Congenital hip dysplasia	Q652;Q6589	Q658;Q652
HPO_ICD:380	HP:0001382	Joint hypermobility	Flexible joints; Joint hyperextensibility; Hyperextensible joints; Double-Jointed; Extensible joints; Increased mobility of joints	M2520	M2520
HPO_ICD:381	HP:0001386	Joint swelling	Joint swelling	M2540	M2540
HPO_ICD:382	HP:0001388	Joint laxity	Loosejointedness; Hyperlaxity; Ligamentous laxity; Joint instability; Loose-jointedness; Joint ligamentous laxity; Lax joints	M24252;M2428;M2420;M24212;M24273;M24222;M24211;M24229;M24232;M24272;M2480;M24241;M24221;M24242;M24251;M24239;M24276;M24219;M24259;M24231;M24274;M24249;M24271;M24275	M2428;M2420;M2424;M2423;M2422;M2427;M2425;M2421;M2480
HPO_ICD:383	HP:0001392	Abnormality of the liver	Liver disease; Liver abnormality; Abnormal liver; Abnormality of the liver	K769	K769
HPO_ICD:384	HP:0001394	Cirrhosis	Scar tissue replaces healthy tissue in the liver; Liver cirrhosis; Hepatic cirrhosis	K7460	K746
HPO_ICD:385	HP:0001395	Hepatic fibrosis		K740	K740
HPO_ICD:386	HP:0005230;HP:0012334;HP:0001396	Biliary tract obstruction; Cholestasis; Extrahepatic cholestasis	Slowed or blocked flow of bile from liver	K831	K831
HPO_ICD:387	HP:0001402	Hepatocellular carcinoma	Increased incidence of hepatocellular carcinoma; Increased hepatocellular carcinoma risk	C220;C228	C220
HPO_ICD:388	HP:0012441;HP:0100762;HP:0001408	Sphincter of Oddi dyskinesia; Bile duct proliferation; Hemobilia	Sphincter of Oddi dysfunction; Haemobilia; Proliferation of bile canaliculi	K838	K838
HPO_ICD:389	HP:0004941;HP:0001409	Extrahepatic portal hypertension; Portal hypertension		K766	K766
HPO_ICD:390	HP:0001410;HP:0011954;HP:0002910	Decreased liver function; Nodular regenerative hyperplasia of liver; Elevated hepatic transaminase	Subclinical abnormal liver function tests; Decreased liver function; Increased liver enzymes; Elevated serum transaminases; Nodular transformation of liver; Abnormal liver function tests; Increased transaminases; Liver dysfunction; Abnormal liver enzymes; Partial nodular transformation of liver; Elevated liver enzymes; Abnormal liver function; Elevated transaminases; High liver enzymes; Liver dysfunction, mild; Elevated liver function tests; Increased liver function tests; Noncirrhotic nodulation	R945;K7689	R945;K768
HPO_ICD:391	HP:0001413;HP:0006577	Micronodular cirrhosis; Macronodular cirrhosis		K7469	K746
HPO_ICD:392	HP:0001442;HP:0001428;HP:0001560;HP:0001980	Megaloblastic bone marrow; Somatic mosaicism; Somatic mutation; Abnormality of the amniotic fluid	Abnormal amniotic fluid	R898	R898
HPO_ICD:393	HP:0001480	Freckling	Freckling	L812	L812
HPO_ICD:394	HP:0001482;HP:0200036	Skin nodule; Subcutaneous nodule	Growth of abnormal tissue under the skin; Nodule below the skin; Subcutaneous nodules; Growth of abnormal tissue on or under the skin; Firm lump under the skin; Multiple, subcutaneous nodules	R229	R229
HPO_ICD:395	HP:0001508	Failure to thrive	Undergrowth; Postnatal failure to thrive; Weight faltering; Faltering weight; Poor weight gain	R6251	
HPO_ICD:396	HP:0001511	Intrauterine growth retardation	Prenatal-onset growth retardation; Intrauterine growth failure; IUGR; Intrauterine retardation; In utero growth retardation; Prenatal growth failure; Prenatal onset growth retardation; Small for gestational age infant; Intrauterine growth restriction; Prenatal growth retardation; Prenatal growth deficiency; Intrauterine growth retardation, IUGR	P0510;P059	P051;P059
HPO_ICD:397	HP:0001513	Obesity	Having too much body fat; Obesity	E669;E668;E6609;E661	E669;E668;E661;E660
HPO_ICD:398	HP:0001537	Umbilical hernia	Umbilical hernias	K429	K429
HPO_ICD:399	HP:0001539	Omphalocele	Omphalocoele	Q792	Q792
HPO_ICD:400	HP:0001540	Diastasis recti	Gap between large left and right abdominal muscles	M6208	M6208
HPO_ICD:401	HP:0001543	Gastroschisis		Q793	Q793
HPO_ICD:402	HP:0001582	Redundant skin	Redundant skin folds; Sagging, redundant skin; Loose redundant skin	L574	L574
HPO_ICD:403	HP:0001586	Vesicovaginal fistula		N820	N820
HPO_ICD:404	HP:0011359;HP:0002299;HP:0001595;HP:0004779;HP:0009886	Brittle hair; Dry hair; Trichorrhexis nodosa; Abnormal hair morphology; Brittle scalp hair	Hair abnormality; Abnormality of the hair; Brittle hair; Dry hair; Abnormality of the hair shaft; Fragile hair; Reduced tensile strength of hair; Easily breakable hair; Fractured hair; Brittle scalp hair	L679;L670;L678	L679;L670;L678
HPO_ICD:405	HP:0001006;HP:0001596;HP:0002293	Hypotrichosis; Alopecia of scalp; Alopecia	Hair loss; Congenital hypotrichosis; Sparse hair since birth; Decreased hair growth on body; Pathologic hair loss from scalp; Scalp hair loss; Marked hypotrichosis; Missing scalp hair; Hypotrichosis, infantile; Baldness; Absence of scalp hair	L649;L659	L649;L659
HPO_ICD:406	HP:0001597	Abnormality of the nail	Nail disease; Abnormality of the nail	L609	L609
HPO_ICD:407	HP:0001602	Laryngeal stenosis		J386	J386
HPO_ICD:408	HP:0001621;HP:0001604;HP:0001612;HP:0001620	Weak voice; Vocal cord paresis; High pitched voice; Weak cry	Weak voice; Hypophonia; Soft voice; Weakness of the vocal cords; High-pitched voice; Hoarse voice due to vocal cord paresis; High pitched voice; Vocal cord paresis in severe cases	R498	R498
HPO_ICD:409	HP:0001605	Vocal cord paralysis	Laryngeal paralysis; Inability to move vocal cords	J3800	J380
HPO_ICD:410	HP:0001609;HP:0001615;HP:0001618	Hoarse cry; Dysphonia; Hoarse voice	Hoarse voice; Hoarse cry; Hoarseness; Inability to produce voice sounds; Husky voice	R490	R490
HPO_ICD:411	HP:0001611	Nasal speech	Hypernasal speech; Nasal voice; Nasal speech; Hypernasal voice	R4921	R492
HPO_ICD:412	HP:0001626	Abnormality of the cardiovascular system	Cardiac anomaly; Cardiovascular disease; Cardiovascular abnormality; Abnormality of the cardiovascular system	R9430;I2510	I251;R943
HPO_ICD:413	HP:0001627	Abnormal heart morphology	Congenital heart defect; Abnormality of cardiac morphology; Congenital heart defects; Abnormally shaped heart; Abnormality of the heart; Cardiac abnormality; Cardiac anomalies	Q209;Q249	Q209;Q249
HPO_ICD:414	HP:0001655;HP:0001684;HP:0011567;HP:0001631	Secundum atrial septal defect; Sinus venosus atrial septal defect; Atrial septal defect; Patent foramen ovale	Defect in the atrial septum; Ostium secundum atrial septal defect; Patent ostium secundum; Atrial septum defect; Hole in heart wall separating two upper heart chambers; Atrial septal defect, ostium secundum type; An opening in the wall separating the top two chambers of the heart; ASD; Atria septal defect	Q211	Q211
HPO_ICD:415	HP:0001634	Mitral valve prolapse		I341	I341
HPO_ICD:416	HP:0001635	Congestive heart failure	CHF; Cardiac failure; Cardiac failures; Chronic heart failure; Heart failure; Cardiac insufficiency	I5022;I5032;I5020;I5043;I5040;I5030;I5021;I509;I5023;I5031;I5042;I5041;I5033	I509
HPO_ICD:417	HP:0001638	Cardiomyopathy	Disease of the heart muscle	I429;I515	I429;I515
HPO_ICD:418	HP:0001639	Hypertrophic cardiomyopathy	Cardiomyopathy, hypertrophic; Enlarged and thickened heart muscle	I422	I422
HPO_ICD:419	HP:0001714;HP:0001640;HP:0001667;HP:0005133	Right ventricular dilatation; Cardiomegaly; Ventricular hypertrophy; Right ventricular hypertrophy	Increased heart size; Enlarged heart; Dilated heart right ventricle; Heart right ventricle hypertrophy	I517	I517
HPO_ICD:420	HP:0001641	Abnormal pulmonary valve morphology	Abnormality of the pulmonary valve; Anomaly of the pulmonary valve	I379	I379
HPO_ICD:421	HP:0001642	Pulmonic stenosis	Narrowing of pulmonic valve; Pulmonary stenosis; Pulmonary valve stenosis; Pulmonic valve stenosis	I370	I370
HPO_ICD:422	HP:0001643;HP:0030745	Patent ductus arteriosus; Dilatation of the ductus arteriosus	Persistent arterial duct; Persistent ductus arteriosus; Ductus arteriosus aneurysm; Ductus arteriosus; Congenital ductus arteriosus aneurysm	Q250	Q250
HPO_ICD:423	HP:0001644	Dilated cardiomyopathy	Cardiomyopathy, dilated; Stretched and thinned heart muscle; Congestive cardiomyopathy	I420	I420
HPO_ICD:424	HP:0001646	Abnormal aortic valve morphology	Abnormality of the aortic valve	I359	I359
HPO_ICD:425	HP:0001647	Bicuspid aortic valve	Aortic valve has two leaflets rather than three	Q231	Q231
HPO_ICD:426	HP:0001648	Cor pulmonale		I279;I2781	I279;I278
HPO_ICD:427	HP:0001649	Tachycardia	Fast heart rate; Heart racing; Elevated heart rate; Racing heart; Rapid heart beat; Increased heart rate	R000	R000
HPO_ICD:428	HP:0001650;HP:0001680	Aortic valve stenosis; Coarctation of aorta	Narrowing of the aorta; Aortic coarctation; Valvular aortic stenosis; Narrowing of aorta; Coarctation of the aorta; Aortic stenosis; Narrowing of aortic valve	I350;Q251	I350;Q251
HPO_ICD:429	HP:0001651	Dextrocardia	Thoracic situs inversus; Heart tip and four chambers point towards right side of body	Q240	Q240
HPO_ICD:430	HP:0001653	Mitral regurgitation	Mitral incompetence; Mitral regurgitation, mild; Mitral valve insufficiency; Mitral insufficiency; Mitral valve regurgitation	I340	I340
HPO_ICD:431	HP:0100584;HP:0001654	Abnormal heart valve morphology; Endocarditis	Valvular heart disease; Abnormality of the heart valves; Valvular abnormality	I38	I38
HPO_ICD:432	HP:0005184;HP:0001657	Prolonged QT interval; Prolonged QTc interval	Long QT syndrome; Prolong qt interval on ekg; Long Q-T syndrome	I4581	I458
HPO_ICD:433	HP:0001658;HP:0001700	Myocardial infarction; Myocardial necrosis	MI; Heart attack	I219	I219
HPO_ICD:434	HP:0001659	Aortic regurgitation	Aortic insufficiency; Aortic valve regurgitation	I351	I351
HPO_ICD:435	HP:0001662;HP:0001688	Bradycardia; Sinus bradycardia	Slow heartbeats; Brachycardia	R001	R001
HPO_ICD:436	HP:0001663	Ventricular fibrillation		I4901	I490
HPO_ICD:437	HP:0001669	Transposition of the great arteries	Transposition of great vessels	Q203	Q203
HPO_ICD:438	HP:0001671	Abnormal cardiac septum morphology	Heart septal defect; Abnormality of the cardiac septa; Septal defects	Q219	Q219
HPO_ICD:439	HP:0011622;HP:0006695;HP:0010445;HP:0001674;HP:0011577	Primum atrial septal defect; Partial atrioventricular canal defect; Complete atrioventricular canal defect; Inlet ventricular septal defect; Atrioventricular canal defect	Hole in center of heart; Primum atrioventricular canal defect; Common atrioventricular canal; Endocardial cushion defect; Atrioventricular canal; Atrioventricular septal defect; Complete atrioventricular septal defect; Atrioventricular canal type ventricular septal defect; Septum primum defect; Type 3 ventricular septal defect; Ostium primum atrial septal defect; Complete common AV canal; Atrial septal defect, primum type	Q212	Q212
HPO_ICD:440	HP:0001677	Coronary artery atherosclerosis	Coronary atherosclerosis; Plaque build-up in arteries supplying blood to heart; Coronary disease	I779;I2510	I779;I251
HPO_ICD:441	HP:0001681	Angina pectoris		I209;I208	I209;I208
HPO_ICD:442	HP:0001682	Subvalvular aortic stenosis	Subaortic stenosis; Narrowing of blood vessel below aortic heart valve	Q244	Q244
HPO_ICD:443	HP:0011724;HP:0001683;HP:0011599;HP:0011629	Total absence of the pericardium; Uhl's anomaly; Ectopia cordis; Mesocardia	Absent pericardium; Congenital absence of the pericardium	Q248	Q248
HPO_ICD:444	HP:0001685;HP:0012819	Myocardial fibrosis; Myocarditis	Inflammation of heart muscle	I514	I514
HPO_ICD:445	HP:0001686	Loss of voice	Aphonia	R491	R491
HPO_ICD:446	HP:0001692	Atrial arrhythmia	Primary atrial arrhythmia	I498	I498
HPO_ICD:447	HP:0001693;HP:0011683	Cardiac shunt; Restrictive ventricular septal defect		I510	I510
HPO_ICD:448	HP:0001695	Cardiac arrest	Heart stops beating	I469;I462;I468	I469
HPO_ICD:449	HP:0001696;HP:0003363	Situs inversus totalis; Abdominal situs inversus	All organs on wrong side of body; Situs inversus viscerum; situs oppositus; Situs inversus visceralis; situs transversus; Situs inversus	Q893	Q893
HPO_ICD:450	HP:0011852;HP:0001698	Chylopericardium; Pericardial effusion	Pericardial effusions; Fluid around heart	I313	I313
HPO_ICD:451	HP:0001701	Pericarditis	Swelling or irritation of membrane around heart	I319	I319
HPO_ICD:452	HP:0001704	Tricuspid valve prolapse		I368	I368
HPO_ICD:453	HP:0001706	Endocardial fibroelastosis		I424	I424
HPO_ICD:454	HP:0011994;HP:0001707;HP:0001711	Abnormal atrial septum morphology; Abnormal right ventricle morphology; Abnormal left ventricle morphology	Left ventricular abnormality; Abnormal interatrial septum morphology; Abnormality of the right ventricle; Right ventricular abnormality; Abnormality of the atrial septum; Abnormality of the left ventricle; Abnormal heart left ventricle morphology	I5189	I518
HPO_ICD:455	HP:0001708	Right ventricular failure	Impaired right ventricular function; Right ventricular impairment; Right-sided heart failure	I50810	
HPO_ICD:456	HP:0001709;HP:0005155	Third degree atrioventricular block; Ventricular escape rhythm	Complete heart block; Idioventricular escape rhythm; Third-degree heart block	I442	I442
HPO_ICD:457	HP:0001716	Wolff-Parkinson-White syndrome		I456	I456
HPO_ICD:458	HP:0001718	Mitral stenosis	Mitral valve stenosis	I050	I050
HPO_ICD:459	HP:0001723	Restrictive cardiomyopathy		I425	I425
HPO_ICD:460	HP:0001732	Abnormality of the pancreas	Pancreatic disease; Abnormality of the pancreas	K869	K869
HPO_ICD:461	HP:0001734	Annular pancreas		Q451	Q451
HPO_ICD:462	HP:0001733;HP:0001735	Pancreatitis; Acute pancreatitis	Pancreatitis, acute; Pancreatic inflammation; Acute pancreatic inflammation	K8590;B252	K859;B252
HPO_ICD:463	HP:0001737	Pancreatic cysts	Multiple pancreatic cysts; Pancreatic cyst; Pancreatic cysts	K862	K862
HPO_ICD:464	HP:0001738	Exocrine pancreatic insufficiency	Pancreatic insufficiency; Inability to properly digest food due to lack of pancreatic digestive enzymes	K8681	K868
HPO_ICD:465	HP:0001741	Phimosis		N471	N47
HPO_ICD:466	HP:0000463;HP:0001742	Anteverted nares; Nasal obstruction	Nostrils anteverted; Nasal congestion; Anteverted nose; Upturned nares; Upturned nostrils; Upturned nasal tip; Upturned nose; Obstruction of nose; Anteverted nostrils; Stuffy nose; Blockage of nose; Nasal blockage; Nasal obstruction; Upturned nasal tips; Nasal tip, upturned; Congestion of nose	J3489;R0981	R098;J348
HPO_ICD:467	HP:0006268;HP:0001744	Splenomegaly; Fluctuating splenomegaly	Increased spleen size	R162;R161	R162;R161
HPO_ICD:468	HP:0001746	Asplenia	Absent spleen	Q8901	Q890
HPO_ICD:469	HP:0009799;HP:0001747;HP:0010452	Supernumerary spleens; Ectopia of the spleen; Accessory spleen	Ectopic spleen; Abnormal spleen location; Extra spleen	Q8909	Q890
HPO_ICD:470	HP:0011556;HP:0001750;HP:0011555	Double inlet right ventricle; Single ventricle; Double inlet left ventricle	Common ventricle	Q204	Q204
HPO_ICD:471	HP:0001760;HP:0002814	Abnormality of the foot; Abnormality of the lower limb	Abnormality of the lower limb; Abnormality of the leg; Abnormality of the feet; Lower limb deformities; Abnormal feet morphology; Abnormality of the foot; Foot deformities; Foot deformity	M21969	M2196
HPO_ICD:472	HP:0008075;HP:0001761	Pes cavus; Progressive pes cavus	High-arched foot	Q667	Q667
HPO_ICD:473	HP:0001763	Pes planus	Dropped arches; Flat foot; Fallen arches; Flat feet	M2142;M2140;M2141	M2142;M2140;M2141
HPO_ICD:474	HP:0001789;HP:0001790	Hydrops fetalis; Nonimmune hydrops fetalis	Non-immune fetal hydrops; Hydrops fetalis, non-immune; Nonimmune hydrops; Hydrops fetalis, nonimmune	P832	P832
HPO_ICD:475	HP:0001541;HP:0001791	Fetal ascites; Ascites	Accumulation of fluid in the abdomen	P9689;R188	P968;R18
HPO_ICD:476	HP:0002165;HP:0001792;HP:0001820;HP:0001795;HP:0001816;HP:0008392;HP:0008388	Hyperconvex nail; Pterygium of nails; Leukonychia; Thin nail; Small nail; Abnormal toenail morphology; Subungual hyperkeratosis	Increased nail curvature; White discoloration of nails; Nail hypoplasia; Thickened, discolored skin under nail; Hypoplastic nails; Thin nail; Hypoplastic nail; Abnormality of the toenails; Small nail; Thin nails; Abnormality of the toenail; Nail overcurvature; Small nails	L608	L608
HPO_ICD:477	HP:0001798	Anonychia	Absent nails; Aplastic nails	Q843	Q843
HPO_ICD:478	HP:0001805	Onychogryposis	Dystrophic thickened nails; Thickened nails; Thick nail	L602	L602
HPO_ICD:479	HP:0001806	Onycholysis	Oncholysis; Detachment of nail	L601	L601
HPO_ICD:480	HP:0030818;HP:0008404;HP:0030804;HP:0001809	Central nail canal; Nail dystrophy; Trachyonychia; Split nail	Median nail dystrophy; Dystrophic nails; Onychodystrophy; Poor nail formation; Longitudinal splitting of nail	L603	L603
HPO_ICD:481	HP:0001822	Hallux valgus	Bunion; Lateral deviation of great toe; Lateral deviation of halluces	M2010	M201
HPO_ICD:482	HP:0001829	Foot polydactyly	Duplication of bones of the toes; Polydactyly of the foot; Polydactyly of feet	Q692	Q692
HPO_ICD:483	HP:0001839	Split foot	Lobster-claw foot deformity; Foot ectrodactyly; Split-foot; Split foot	Q7270	Q727
